
Dogleg Trust-Region Solver with Limited-Memory BFGS Hessian Approximation
  iter  value          gnorm          snorm          delta          #fval     #grad     tr_flag   
  26    2.549364e-01   2.255165e+00   2.766049e-07   6.915123e-07   28        15        0         
  27    2.549364e-01   2.255165e+00   6.915123e-07   6.915176e-08   29        15        5         
  28    2.549362e-01   2.255161e+00   6.915176e-08   1.728794e-07   30        16        0         
  29    2.549358e-01   2.255152e+00   1.728794e-07   4.321985e-07   31        17        0         
  30    2.549358e-01   2.255152e+00   4.321985e-07   4.322005e-08   32        17        5         
  31    2.549357e-01   2.255149e+00   4.322005e-08   1.080501e-07   33        18        0         
  32    2.549357e-01   2.255149e+00   1.080501e-07   1.080503e-08   34        18        5         
  33    2.549357e-01   2.255149e+00   1.080503e-08   2.701256e-08   35        19        0         
  34    2.549356e-01   2.255147e+00   2.701256e-08   6.753141e-08   36        20        0         
  35    2.549356e-01   2.255147e+00   6.753141e-08   6.753146e-09   37        20        5         
  36    2.549356e-01   2.255147e+00   6.753146e-09   1.688286e-08   38        21        0         
Optimization Terminated with Status: Step Tolerance Met

Dogleg Trust-Region Solver with Limited-Memory BFGS Hessian Approximation
  iter  value          gnorm          snorm          delta          #fval     #grad     tr_flag   
  0     1.423939e+00   2.975465e+01                  2.975465e+01   
  1     1.423939e+00   2.975465e+01   2.975465e+01   5.409936e+00   3         1         5         
  2     1.423939e+00   2.975465e+01   5.409936e+00   5.892009e-01   4         1         5         
  3     1.423939e+00   2.975465e+01   5.892009e-01   5.944984e-02   5         1         5         
  4     4.789035e-01   1.177070e+01   5.944984e-02   5.944984e-02   6         2         0         
  5     3.267627e-01   6.782838e+00   2.931830e-02   1.486246e-01   7         3         0         
  6     3.267627e-01   6.782838e+00   1.336019e-02   3.340046e-03   8         3         5         
  7     3.067258e-01   5.428140e+00   3.340046e-03   8.350116e-03   9         4         0         
  8     2.746182e-01   3.014511e+00   8.350116e-03   2.087529e-02   10        5         0         
  9     2.746182e-01   3.014511e+00   1.152745e-02   2.881862e-03   11        5         5         
  10    2.746182e-01   3.014511e+00   2.881862e-03   3.356304e-04   12        5         5         
  11    2.736193e-01   2.920816e+00   3.356304e-04   8.390761e-04   13        6         0         
  12    2.712658e-01   2.725032e+00   8.390761e-04   2.097690e-03   14        7         0         
  13    2.712658e-01   2.725032e+00   2.097690e-03   2.233354e-04   15        7         5         
  14    2.706608e-01   2.686036e+00   2.233354e-04   5.583386e-04   16        8         0         
  15    2.691938e-01   2.580561e+00   5.583386e-04   1.395846e-03   17        9         0         
  16    2.691938e-01   2.580561e+00   1.395846e-03   1.447278e-04   18        9         5         
  17    2.688210e-01   2.571010e+00   1.447278e-04   3.618196e-04   19        10        0         
  18    2.679014e-01   2.521538e+00   3.618196e-04   9.045489e-04   20        11        0         
  19    2.679014e-01   2.521538e+00   9.045489e-04   9.199782e-05   21        11        5         
  20    2.676697e-01   2.515987e+00   9.199782e-05   2.299946e-04   22        12        0         
  21    2.670931e-01   2.498722e+00   2.299946e-04   5.749864e-04   23        13        0         
  22    2.670931e-01   2.498722e+00   5.749864e-04   5.792806e-05   24        13        5         
  23    2.670931e-01   2.498722e+00   5.792806e-05   5.797136e-06   25        13        5         
  24    2.670787e-01   2.498378e+00   5.797136e-06   1.449284e-05   26        14        0         
  25    2.670425e-01   2.497520e+00   1.449284e-05   3.623210e-05   27        15        0         
  26    2.670425e-01   2.497520e+00   3.623210e-05   3.624610e-06   28        15        5         
  27    2.670334e-01   2.497305e+00   3.624610e-06   9.061525e-06   29        16        0         
  28    2.670108e-01   2.496769e+00   9.061525e-06   2.265381e-05   30        17        0         
  29    2.670108e-01   2.496769e+00   2.265381e-05   2.265928e-06   31        17        5         
  30    2.670051e-01   2.496636e+00   2.265928e-06   5.664821e-06   32        18        0         
  31    2.669910e-01   2.496301e+00   5.664821e-06   1.416205e-05   33        19        0         
  32    2.669910e-01   2.496301e+00   1.416205e-05   1.416419e-06   34        19        5         
  33    2.669874e-01   2.496217e+00   1.416419e-06   3.541047e-06   35        20        0         
  34    2.669786e-01   2.496008e+00   3.541047e-06   8.852617e-06   36        21        0         
  35    2.669786e-01   2.496008e+00   8.852617e-06   8.853452e-07   37        21        5         
  36    2.669764e-01   2.495956e+00   8.853452e-07   2.213363e-06   38        22        0         
  37    2.669709e-01   2.495825e+00   2.213363e-06   5.533407e-06   39        23        0         
  38    2.669709e-01   2.495825e+00   5.533407e-06   5.533733e-07   40        23        5         
  39    2.669695e-01   2.495792e+00   5.533733e-07   1.383433e-06   41        24        0         
  40    2.669660e-01   2.495711e+00   1.383433e-06   3.458583e-06   42        25        0         
Optimization Terminated with Status: Iteration Limit Exceeded

Dogleg Trust-Region Solver with Limited-Memory BFGS Hessian Approximation
  iter  value          gnorm          snorm          delta          #fval     #grad     tr_flag   
  0     1.563035e+00   3.225023e+01                  3.225023e+01   
  1     1.563035e+00   3.225023e+01   3.225023e+01   5.863679e+00   3         1         5         
  2     1.563035e+00   3.225023e+01   5.863679e+00   6.386185e-01   4         1         5         
  3     1.563035e+00   3.225023e+01   6.386185e-01   6.443603e-02   5         1         5         
  4     4.997878e-01   1.232808e+01   6.443603e-02   6.443603e-02   6         2         0         
  5     3.459690e-01   7.300322e+00   2.913989e-02   1.610901e-01   7         3         0         
  6     3.459690e-01   7.300322e+00   1.315848e-02   3.289621e-03   8         3         5         
  7     3.243446e-01   5.895695e+00   3.289621e-03   8.224052e-03   9         4         0         
  8     2.870799e-01   3.829271e+00   8.224052e-03   2.056013e-02   10        5         0         
  9     2.870799e-01   3.829271e+00   1.525870e-02   3.738206e-03   11        5         5         
  10    2.870799e-01   3.829271e+00   3.738206e-03   4.423387e-04   12        5         5         
  11    2.853986e-01   3.768183e+00   4.423387e-04   1.105847e-03   13        6         0         
  12    2.853986e-01   3.768183e+00   1.105847e-03   1.125164e-04   14        6         5         
  13    2.849750e-01   3.759980e+00   1.125164e-04   2.812910e-04   15        7         0         
  14    2.849750e-01   3.759980e+00   2.812910e-04   2.819800e-05   16        7         5         
  15    2.848693e-01   3.747377e+00   2.819800e-05   7.049500e-05   17        8         0         
  16    2.846053e-01   3.741244e+00   7.049500e-05   1.762375e-04   18        9         0         
  17    2.846053e-01   3.741244e+00   1.762375e-04   1.765611e-05   19        9         5         
  18    2.845393e-01   3.739919e+00   1.765611e-05   4.414028e-05   20        10        0         
  19    2.843743e-01   3.736593e+00   4.414028e-05   1.103507e-04   21        11        0         
  20    2.843743e-01   3.736593e+00   1.103507e-04   1.104611e-05   22        11        5         
  21    2.843330e-01   3.735758e+00   1.104611e-05   2.761528e-05   23        12        0         
  22    2.843330e-01   3.735758e+00   2.761528e-05   2.762222e-06   24        12        5         
  23    2.843227e-01   3.735550e+00   2.762222e-06   6.905555e-06   25        13        0         
  24    2.842969e-01   3.735027e+00   6.905555e-06   1.726389e-05   26        14        0         
  25    2.842324e-01   3.733720e+00   1.726389e-05   4.315972e-05   27        15        0         
  26    2.842324e-01   3.733720e+00   4.315972e-05   4.317672e-06   28        15        5         
  27    2.842324e-01   3.733720e+00   4.317672e-06   4.317842e-07   29        15        5         
  28    2.842324e-01   3.733720e+00   4.317842e-07   4.317859e-08   30        15        5         
  29    2.842323e-01   3.733716e+00   4.317859e-08   1.079465e-07   31        16        0         
  30    2.842323e-01   3.733716e+00   1.079465e-07   1.079466e-08   32        16        5         
  31    2.842322e-01   3.733715e+00   1.079466e-08   2.698665e-08   33        17        0         
  32    2.842322e-01   3.733715e+00   2.698665e-08   2.698665e-09   34        17        5         
  33    2.842322e-01   3.733715e+00   2.698665e-09   6.746663e-09   35        18        0         
Optimization Terminated with Status: Step Tolerance Met

Dogleg Trust-Region Solver with Limited-Memory BFGS Hessian Approximation
  iter  value          gnorm          snorm          delta          #fval     #grad     tr_flag   
  0     1.703085e+00   3.475902e+01                  3.475902e+01   
  1     1.703085e+00   3.475902e+01   3.475902e+01   6.319822e+00   3         1         5         
  2     1.703085e+00   3.475902e+01   6.319822e+00   6.882974e-01   4         1         5         
  3     1.703085e+00   3.475902e+01   6.882974e-01   6.944859e-02   5         1         5         
  4     5.193883e-01   1.289348e+01   6.944859e-02   6.944859e-02   6         2         0         
  5     3.666694e-01   7.842377e+00   2.905769e-02   6.944859e-02   7         3         0         
  6     3.666694e-01   7.842377e+00   1.316320e-02   3.290800e-03   8         3         5         
  7     3.435945e-01   6.408052e+00   3.290800e-03   8.227000e-03   9         4         0         
  8     3.435945e-01   6.408052e+00   8.227000e-03   1.013247e-03   10        4         5         
  9     3.372608e-01   6.087263e+00   1.013247e-03   2.533117e-03   11        5         0         
  10    3.228144e-01   5.456086e+00   2.533117e-03   6.332792e-03   12        6         0         
  11    3.228144e-01   5.456086e+00   6.332792e-03   7.053954e-04   13        6         5         
  12    3.190117e-01   5.327514e+00   7.053954e-04   1.763489e-03   14        7         0         
  13    3.098811e-01   5.025357e+00   1.763489e-03   4.408722e-03   15        8         0         
  14    3.098811e-01   5.025357e+00   4.408722e-03   4.671405e-04   16        8         5         
  15    3.075586e-01   4.909810e+00   4.671405e-04   1.167851e-03   17        9         0         
  16    3.019831e-01   4.693522e+00   1.167851e-03   2.919628e-03   18        10        0         
  17    3.019831e-01   4.693522e+00   2.919628e-03   3.057698e-04   19        10        5         
  18    3.005537e-01   4.656444e+00   3.057698e-04   7.644245e-04   20        11        0         
  19    3.005537e-01   4.656444e+00   7.644245e-04   7.705639e-05   21        11        5         
  20    3.001951e-01   4.652668e+00   7.705639e-05   1.926410e-04   22        12        0         
  21    2.993033e-01   4.602633e+00   1.926410e-04   4.816024e-04   23        13        0         
  22    2.993033e-01   4.602633e+00   4.816024e-04   4.871624e-05   24        13        5         
  23    2.990794e-01   4.585075e+00   4.871624e-05   1.217906e-04   25        14        0         
  24    2.985224e-01   4.551916e+00   1.217906e-04   3.044765e-04   26        15        0         
  25    2.985224e-01   4.551916e+00   3.044765e-04   3.068886e-05   27        15        5         
  26    2.983828e-01   4.547655e+00   3.068886e-05   7.672216e-05   28        16        0         
  27    2.980340e-01   4.543651e+00   7.672216e-05   1.918054e-04   29        17        0         
  28    2.980340e-01   4.543651e+00   1.918054e-04   1.919945e-05   30        17        5         
  29    2.979468e-01   4.542611e+00   1.919945e-05   4.799863e-05   31        18        0         
  30    2.977288e-01   4.540086e+00   4.799863e-05   1.199966e-04   32        19        0         
  31    2.977288e-01   4.540086e+00   1.199966e-04   1.200714e-05   33        19        5         
  32    2.976743e-01   4.539453e+00   1.200714e-05   3.001785e-05   34        20        0         
  33    2.976743e-01   4.539453e+00   3.001785e-05   3.002256e-06   35        20        5         
  34    2.976607e-01   4.539294e+00   3.002256e-06   7.505640e-06   36        21        0         
  35    2.976266e-01   4.538898e+00   7.505640e-06   1.876410e-05   37        22        0         
  36    2.976266e-01   4.538898e+00   1.876410e-05   1.876594e-06   38        22        5         
  37    2.976181e-01   4.538799e+00   1.876594e-06   4.691485e-06   39        23        0         
  38    2.975968e-01   4.538551e+00   4.691485e-06   1.172871e-05   40        24        0         
  39    2.975968e-01   4.538551e+00   1.172871e-05   1.172943e-06   41        24        5         
  40    2.975915e-01   4.538489e+00   1.172943e-06   2.932358e-06   42        25        0         
Optimization Terminated with Status: Iteration Limit Exceeded

Dogleg Trust-Region Solver with Limited-Memory BFGS Hessian Approximation
  iter  value          gnorm          snorm          delta          #fval     #grad     tr_flag   
  0     1.843631e+00   3.722738e+01                  3.722738e+01   
  1     1.843631e+00   3.722738e+01   3.722738e+01   6.768615e+00   3         1         5         
  2     1.843631e+00   3.722738e+01   6.768615e+00   7.371759e-01   4         1         5         
  3     1.843631e+00   3.722738e+01   7.371759e-01   7.438039e-02   5         1         5         
  4     5.397837e-01   1.320464e+01   7.438039e-02   7.438039e-02   6         2         0         
  5     5.397837e-01   1.320464e+01   2.834778e-02   7.086944e-03   7         2         5         
  6     4.568492e-01   1.031312e+01   7.086944e-03   1.771736e-02   8         3         0         
  7     3.352187e-01   5.713791e+00   1.771736e-02   4.429340e-02   9         4         0         
  8     3.352187e-01   5.713791e+00   1.943034e-02   4.857586e-03   10        4         5         
  9     3.095342e-01   4.889405e+00   4.857586e-03   1.214397e-02   11        5         0         
  10    3.095342e-01   4.889405e+00   1.214397e-02   1.403171e-03   12        5         5         
  11    3.028587e-01   4.595941e+00   1.403171e-03   3.507928e-03   13        6         0         
  12    2.882591e-01   3.774588e+00   3.507928e-03   8.769820e-03   14        7         0         
  13    2.882591e-01   3.774588e+00   8.769820e-03   1.080768e-03   15        7         5         
  14    2.844058e-01   3.437259e+00   1.080768e-03   2.701919e-03   16        8         0         
  15    2.844058e-01   3.437259e+00   2.701919e-03   2.945303e-04   17        8         5         
  16    2.844058e-01   3.437259e+00   2.945303e-04   2.972075e-05   18        8         5         
  17    2.843039e-01   3.417307e+00   2.972075e-05   7.430187e-05   19        9         0         
  18    2.840505e-01   3.408476e+00   7.430187e-05   1.857547e-04   20        10        0         
  19    2.840505e-01   3.408476e+00   1.857547e-04   1.862100e-05   21        10        5         
  20    2.839870e-01   3.407330e+00   1.862100e-05   4.655251e-05   22        11        0         
  21    2.838285e-01   3.401756e+00   4.655251e-05   1.163813e-04   23        12        0         
  22    2.838285e-01   3.401756e+00   1.163813e-04   1.165597e-05   24        12        5         
  23    2.837889e-01   3.401046e+00   1.165597e-05   2.913994e-05   25        13        0         
  24    2.836898e-01   3.399276e+00   2.913994e-05   7.284984e-05   26        14        0         
  25    2.836898e-01   3.399276e+00   7.284984e-05   7.289236e-06   27        14        5         
  26    2.836650e-01   3.398835e+00   7.289236e-06   1.822309e-05   28        15        0         
  27    2.836031e-01   3.397735e+00   1.822309e-05   4.555773e-05   29        16        0         
  28    2.836031e-01   3.397735e+00   4.555773e-05   4.557429e-06   30        16        5         
  29    2.835876e-01   3.397460e+00   4.557429e-06   1.139357e-05   31        17        0         
  30    2.835489e-01   3.396775e+00   1.139357e-05   2.848393e-05   32        18        0         
  31    2.835489e-01   3.396775e+00   2.848393e-05   2.849039e-06   33        18        5         
  32    2.835392e-01   3.396604e+00   2.849039e-06   7.122597e-06   34        19        0         
  33    2.835150e-01   3.396176e+00   7.122597e-06   1.780649e-05   35        20        0         
  34    2.835150e-01   3.396176e+00   1.780649e-05   1.780901e-06   36        20        5         
  35    2.835090e-01   3.396070e+00   1.780901e-06   4.452253e-06   37        21        0         
  36    2.834939e-01   3.376798e+00   4.452253e-06   1.113063e-05   38        22        0         
  37    2.834564e-01   3.374062e+00   1.113063e-05   2.782658e-05   39        23        0         
  38    2.834564e-01   3.374062e+00   2.782658e-05   2.784585e-06   40        23        5         
  39    2.834564e-01   3.374062e+00   2.784585e-06   2.784778e-07   41        23        5         
  40    2.834564e-01   3.374062e+00   2.784778e-07   2.784797e-08   42        23        5         
Optimization Terminated with Status: Iteration Limit Exceeded

Dogleg Trust-Region Solver with Limited-Memory BFGS Hessian Approximation
  iter  value          gnorm          snorm          delta          #fval     #grad     tr_flag   
  0     1.984464e+00   3.961720e+01                  3.961720e+01   
  1     1.984464e+00   3.961720e+01   3.961720e+01   7.203127e+00   3         1         5         
  2     1.984464e+00   3.961720e+01   7.203127e+00   7.844990e-01   4         1         5         
  3     1.984464e+00   3.961720e+01   7.844990e-01   7.915524e-02   5         1         5         
  4     5.597995e-01   1.376131e+01   7.915524e-02   7.915524e-02   6         2         0         
  5     5.597995e-01   1.376131e+01   2.839473e-02   7.098683e-03   7         2         5         
  6     4.743734e-01   1.051820e+01   7.098683e-03   1.774671e-02   8         3         0         
  7     3.510626e-01   6.014249e+00   1.774671e-02   4.436677e-02   9         4         0         
  8     3.510626e-01   6.014249e+00   2.039297e-02   5.098242e-03   10        4         5         
  9     3.227981e-01   5.299809e+00   5.098242e-03   1.274561e-02   11        5         0         
  10    3.227981e-01   5.299809e+00   1.274561e-02   1.439240e-03   12        5         5         
  11    3.153088e-01   5.113686e+00   1.439240e-03   3.598101e-03   13        6         0         
  12    3.153088e-01   5.113686e+00   3.598101e-03   3.720195e-04   14        6         5         
  13    3.134207e-01   5.058826e+00   3.720195e-04   9.300487e-04   15        7         0         
  14    3.088073e-01   4.897016e+00   9.300487e-04   2.325122e-03   16        8         0         
  15    3.088073e-01   4.897016e+00   2.325122e-03   2.401749e-04   17        8         5         
  16    3.076321e-01   4.888392e+00   2.401749e-04   6.004373e-04   18        9         0         
  17    3.076321e-01   4.888392e+00   6.004373e-04   6.014741e-05   19        9         5         
  18    3.076321e-01   4.888392e+00   6.014741e-05   6.015780e-06   20        9         5         
  19    3.076027e-01   4.888216e+00   6.015780e-06   1.503945e-05   21        10        0         
  20    3.075292e-01   4.887775e+00   1.503945e-05   3.759863e-05   22        11        0         
  21    3.075292e-01   4.887775e+00   3.759863e-05   3.760243e-06   23        11        5         
  22    3.075108e-01   4.887664e+00   3.760243e-06   9.400608e-06   24        12        0         
  23    3.074648e-01   4.887388e+00   9.400608e-06   2.350152e-05   25        13        0         
  24    3.074648e-01   4.887388e+00   2.350152e-05   2.350301e-06   26        13        5         
  25    3.074534e-01   4.887319e+00   2.350301e-06   5.875753e-06   27        14        0         
  26    3.074534e-01   4.887319e+00   5.875753e-06   5.875847e-07   28        14        5         
  27    3.074505e-01   4.887301e+00   5.875847e-07   1.468962e-06   29        15        0         
  28    3.074433e-01   4.887258e+00   1.468962e-06   3.672404e-06   30        16        0         
  29    3.074433e-01   4.887258e+00   3.672404e-06   3.672441e-07   31        16        5         
  30    3.074415e-01   4.887247e+00   3.672441e-07   9.181102e-07   32        17        0         
  31    3.074370e-01   4.887220e+00   9.181102e-07   2.295275e-06   33        18        0         
  32    3.074370e-01   4.887220e+00   2.295275e-06   2.295290e-07   34        18        5         
  33    3.074359e-01   4.887214e+00   2.295290e-07   5.738224[10 MPa] Initial objective: 0.37547543587784366
[12 MPa] Initial objective: 0.4925575711324302
[14 MPa] Initial objective: 0.6167123873462743
[16 MPa] Initial objective: 0.7451813620023393
[18 MPa] Initial objective: 0.8769738378118639
[20 MPa] Initial objective: 1.0113295745864121
[22 MPa] Initial objective: 1.147697394305076
[24 MPa] Initial objective: 1.2854614619974332
[26 MPa] Initial objective: 1.4239385014795503
[28 MPa] Initial objective: 1.5630349481323391
[30 MPa] Initial objective: 1.70308477677303
[32 MPa] Initial objective: 1.8436310362993402
[34 MPa] Initial objective: 1.984464094529657
e-07   35        19        0         
  34    3.074331e-01   4.887197e+00   5.738224e-07   1.434556e-06   36        20        0         
  35    3.074331e-01   4.887197e+00   1.434556e-06   1.434562e-07   37        20        5         
  36    3.074324e-01   4.887192e+00   1.434562e-07   3.586404e-07   38        21        0         
  37    3.074324e-01   4.887192e+00   3.586404e-07   3.586408e-08   39        21        5         
  38    3.074322e-01   4.887191e+00   3.586408e-08   8.966019e-08   40        22        0         
  39    3.074322e-01   4.887191e+00   8.966019e-08   8.966021e-09   41        22        5         
  40    3.074322e-01   4.887191e+00   8.966021e-09   2.241505e-08   42        23        0         
Optimization Terminated with Status: Step Tolerance Met
