
Dogleg Trust-Region Solver with Limited-Memory BFGS Hessian Approximation
  iter  value          gnorm          snorm          delta          #fval     #grad     tr_flag   
  31    1.491519e-01   6.442421e-01   2.352298e-05   5.880744e-05   33        20        0         
  32    1.491519e-01   6.442421e-01   5.880744e-05   5.881831e-06   34        20        5         
  33    1.491481e-01   6.442732e-01   5.881831e-06   1.470458e-05   35        21        0         
  34    1.491386e-01   6.441505e-01   1.470458e-05   3.676144e-05   36        22        0         
  35    1.491386e-01   6.441505e-01   3.676144e-05   3.677762e-06   37        22        5         
  36    1.491362e-01   6.441340e-01   3.677762e-06   9.194406e-06   38        23        0         
  37    1.491303e-01   6.440928e-01   9.194406e-06   2.298602e-05   39        24        0         
  38    1.491303e-01   6.440928e-01   2.298602e-05   2.298767e-06   40        24        5         
  39    1.491288e-01   6.440825e-01   2.298767e-06   5.746918e-06   41        25        0         
  40    1.491251e-01   6.441156e-01   5.746918e-06   1.436729e-05   42        26        0         
Optimization Terminated with Status: Iteration Limit Exceeded

Dogleg Trust-Region Solver with Limited-Memory BFGS Hessian Approximation
  iter  value          gnorm          snorm          delta          #fval     #grad     tr_flag   
  0     6.167124e-01   1.452087e+01                  1.452087e+01   
  1     6.167124e-01   1.452087e+01   1.452087e+01   2.640158e+00   3         1         5         
  2     6.167124e-01   1.452087e+01   2.640158e+00   2.875419e-01   4         1         5         
  3     6.167124e-01   1.452087e+01   2.875419e-01   2.901272e-02   5         1         5         
  4     3.251740e-01   6.603164e+00   2.901272e-02   2.901272e-02   6         2         0         
  5     2.285666e-01   2.866720e+00   2.901272e-02   7.253181e-02   7         3         0         
  6     2.086244e-01   1.709959e+00   1.194721e-02   1.813295e-01   8         4         0         
  7     1.940927e-01   1.375429e+00   1.376766e-02   4.533238e-01   9         5         0         
  8     1.940927e-01   1.375429e+00   2.549443e-02   6.373608e-03   10        5         5         
  9     1.873445e-01   1.101613e+00   6.373608e-03   1.593402e-02   11        6         0         
  10    1.731154e-01   1.035931e+00   1.593402e-02   3.983505e-02   12        7         0         
  11    1.731154e-01   1.035931e+00   3.983505e-02   5.694384e-03   13        7         5         
  12    1.694243e-01   9.940195e-01   5.694384e-03   1.423596e-02   14        8         0         
  13    1.694243e-01   9.940195e-01   1.423596e-02   1.849062e-03   15        8         5         
  14    1.677404e-01   8.703389e-01   1.849062e-03   4.622656e-03   16        9         0         
  15    1.646491e-01   9.651792e-01   4.622656e-03   4.622656e-03   17        10        0         
  16    1.646491e-01   9.651792e-01   4.622656e-03   7.078195e-04   18        10        5         
  17    1.640013e-01   8.590157e-01   7.078195e-04   1.769549e-03   19        11        0         
  18    1.640013e-01   8.590157e-01   1.769549e-03   1.910457e-04   20        11        5         
  19    1.638400e-01   8.395082e-01   1.910457e-04   4.776144e-04   21        12        0         
  20    1.634494e-01   8.051721e-01   4.776144e-04   1.194036e-03   22        13        0         
  21    1.634494e-01   8.051721e-01   1.194036e-03   1.225765e-04   23        13        5         
  22    1.633517e-01   7.959243e-01   1.225765e-04   3.064412e-04   24        14        0         
  23    1.631113e-01   7.788989e-01   3.064412e-04   7.661031e-04   25        15        0         
  24    1.631113e-01   7.788989e-01   7.661031e-04   7.773339e-05   26        15        5         
  25    1.630508e-01   7.781869e-01   7.773339e-05   1.943335e-04   27        16        0         
